timestamp,x,y,z
3705958,-0.3230426,9.523774,2.4575167
3705968,-0.27039862,9.47113,2.1560102
3705977,-0.27279153,9.308413,2.553233
3705986,-0.2632199,9.301233,2.5986981
3705996,-0.27518442,9.523774,2.0985804
3706005,-0.31825677,9.490273,1.8018597
3706014,-0.31107804,9.533346,1.8425392
3706024,-0.35893622,9.483095,1.9932925
3706033,-0.39004403,9.636241,2.0985804
3706043,-0.2943277,9.686492,1.8640754
3706052,-0.3254355,9.655384,2.1177237
3706061,-0.3565433,9.60274,2.368979
3706071,-0.42593765,9.643419,2.3091564
3706080,-0.4091873,9.480701,2.6226273
3706089,-0.3230426,9.542917,2.41923
3706099,-0.27518442,9.380199,2.4766598
3706108,-0.27279153,9.444808,2.5173392
3706119,-0.22732627,9.607526,1.9167194
3706128,-0.3828653,9.526167,2.165582
3706138,-0.37090075,9.633848,1.5673548
3706147,-0.36372203,9.490273,1.9047549
3706157,-0.5025107,9.56924,2.1895108
3706166,-0.39482984,9.6003475,2.057901
3706176,-0.31107804,9.509417,2.2852273
3706185,-0.4498667,9.652991,2.9193478
3706194,-0.54797596,9.834852,2.2301903
3706203,-0.39482984,10.442651,-0.28954187
3706212,-0.17228939,8.834617,2.6537352
3706222,-0.3230426,9.571632,3.802331
3706231,-0.30150643,10.023892,1.2562767
3706240,-0.4498667,9.775029,1.6080343
3706250,-0.54797596,9.765458,2.0746512
3706259,-0.45225963,9.382592,2.5986981
3706269,-0.40440148,9.313198,2.6513422
3706278,-0.34457877,9.511809,2.112938
3706287,-0.39243692,9.7415285,1.7037506
3706297,-0.4139731,9.69367,1.6822144
3706306,-0.42593765,9.566847,1.7851094
3706315,-0.45943835,9.490273,2.2756555
3706325,-0.42593765,9.705635,2.4264088
3706334,-0.31825677,9.772636,2.4383733
3706344,-0.31107804,9.810924,2.2995846
3706353,-0.31107804,9.698457,2.4551237
3706362,-0.39004403,9.58599,2.5364826
3706372,-0.37090075,9.578811,2.3354783
3706381,-0.40440148,9.483095,2.4862316
3706390,-0.37090075,9.43763,2.555626
3706400,-0.3326142,9.597955,2.1057591
3706409,-0.42593765,9.514202,1.9765421
3706419,-0.6484781,9.428058,2.1919038
3706428,-0.416366,9.473523,2.2971919
3706437,-0.36372203,9.559668,2.3976939
3706447,-0.19382556,9.552489,2.340264
3706456,-0.30150643,9.456773,2.163189
3706465,-0.4450809,9.509417,2.0507221
3706475,-0.4737958,9.509417,2.0267932
3706484,-0.39482984,9.574025,2.1057591
3706495,-0.31347096,9.7176,2.0267932
3706504,-0.40440148,9.703242,1.7898953
3706514,-0.45943835,9.425665,1.3089207
3706523,-0.56711924,9.346699,1.1342385
3706533,-0.57908374,9.088264,1.7851094
3706542,-0.51208234,9.451987,2.1177237
3706552,-0.42354473,9.67692,2.1368668
3706561,-0.42593765,9.789387,1.9430413
3706571,-0.46901,9.813316,2.0626867
3706580,-0.42593765,9.954497,2.0914016
3706590,-0.4450809,9.954497,2.0220072
3706599,-0.27518442,9.954497,2.079437
3706609,-0.42833054,9.949712,1.9741492
3706618,-0.48336744,9.920997,1.9597918
3706628,-0.48097453,9.782208,1.8664683
3706637,-0.42833054,9.605133,1.9191123
3706646,-0.5934412,9.767851,1.9837208
3706655,-0.39722276,9.803744,1.1103094
3706664,-0.5049036,9.655384,0.234505
3706674,-0.31825677,8.7389,2.7039862
3706683,-0.3613291,9.784601,2.3139422
